,Unnamed: 0,ST_CODE,State_name,Month,Year,PC_Number,PC_name,PC_Type,MP_Name,Sex,Category,Age,Party,Total_voters,Total_Electors,POLL_PERCENTAGE,lat,long,color
0,0,S01,Andhra Pradesh,5,2014,1,Adilabad ,ST,GODAM NAGESH,M,ST,49,TRS,1055593,1386282,76.15,19.6759452,78.5339895,olivedrab
1,1,S01,Andhra Pradesh,5,2014,2,Peddapalle ,SC,BALKA SUMAN,M,SC,31,TRS,1025194,1425355,71.93,17.5619842,82.8327333,olivedrab
2,2,S01,Andhra Pradesh,5,2014,3,Karimnagar ,GEN,VINOD KUMAR BOINAPALLY,M,GEN,54,TRS,1127225,1550810,72.69,18.4346438,79.1322648,olivedrab
3,3,S01,Andhra Pradesh,5,2014,4,Nizamabad,GEN,KALVAKUNTLA KAVITHA,F,GEN,36,TRS,1034032,1496193,69.11,18.6732693,78.0978477,olivedrab
4,4,S01,Andhra Pradesh,5,2014,5,Zahirabad,GEN,B.B. PATIL,M,GEN,58,TRS,1099784,1445354,76.09,18.0472727,80.19279736,olivedrab
5,5,S01,Andhra Pradesh,5,2014,6,Medak,GEN,KALVAKUNTLA CHANDRASEKHAR RAO,M,GEN,60,TRS,1193548,1536166,77.69,18.0458792,78.2651993,olivedrab
6,6,S01,Andhra Pradesh,5,2014,7,Malkajgiri,GEN,CH.MALLA REDDY,M,GEN,56,TDP,1624859,3183083,51.05,17.4511764,78.5368997,darkkhaki
7,7,S01,Andhra Pradesh,5,2014,8,Secundrabad,GEN,BANDARU DATTATREYA,M,GEN,66,BJP,1004763,1893741,53.06,17.4020163,78.5597253,orange
8,8,S01,Andhra Pradesh,5,2014,9,Hyderabad,GEN,ASADUDDIN OWAISI,M,GEN,43,AIMIM,971770,1823217,53.3,17.3616079,78.4746286,orchid
9,9,S01,Andhra Pradesh,5,2014,11,Mahbubnagar,GEN,AP JITHENDER REDDY,M,GEN,60,TRS,1015520,1418668,71.58,16.7434697,77.9923773,olivedrab
10,10,S01,Andhra Pradesh,5,2014,12,Nagarkurnool,SC,YELLAIAH NANDI,M,SC,71,INC,1116159,1477305,75.55,16.4870296,78.3169003,black
11,11,S01,Andhra Pradesh,5,2014,13,Nalgonda,GEN,GUTHA SUKHENDER REDDY,M,GEN,60,INC,1191667,1494343,79.75,17.0504406,79.2669235,black
12,12,S01,Andhra Pradesh,5,2014,14,Bhongir ,GEN,DR. BOORA NARSAIAH GOUD,M,GEN,55,TRS,1212738,1492240,81.27,17.5172789,78.8863383,olivedrab
13,13,S01,Andhra Pradesh,5,2014,15,Warangal,SC,KADIYAM SRIHARI,M,SC,63,TRS,1176653,1537778,76.52,17.9899747,79.6043994,olivedrab
14,14,S01,Andhra Pradesh,5,2014,16,Mahabubabad  ,ST,PROF. AZMEERA SEETARAM NAIK,M,ST,56,TRS,1126618,1387288,81.21,17.5958344,79.9998269,olivedrab
15,15,S01,Andhra Pradesh,5,2014,17,Khammam ,GEN,PONGULETI  SRINIVASA REDDY,M,GEN,48,YSRCP,1188875,1440267,82.55,17.2465351,80.1500326,greenyellow
16,16,S01,Andhra Pradesh,5,2014,19,Srikakulam,GEN,RAMMOHAN NAIDU KINJARAPU,M,GEN,27,TDP,1054640,1413726,74.6,18.2949396,83.893875,darkkhaki
17,17,S01,Andhra Pradesh,5,2014,20,Vizianagaram,GEN,ASHOK GAJAPATHI RAJU PUSAPATI,M,GEN,62,TDP,1125615,1403736,80.19,18.1154979,83.3978806,darkkhaki
18,18,S01,Andhra Pradesh,5,2014,21,Visakhapatnam,GEN,KAMBHAMPATI HARI BABU,M,GEN,60,BJP,1163582,1723011,67.53,17.7231276,83.3012842,orange
19,19,S01,Andhra Pradesh,5,2014,22,Anakapalli,GEN,MUTTAMSETTI SRINIVASA RAO (AVANTHI),M,GEN,47,TDP,1149326,1401474,82.01,17.6858653,82.9884187,darkkhaki
20,20,S01,Andhra Pradesh,5,2014,23,Kakinada,GEN,THOTA NARASIMHAM,M,GEN,53,TDP,1101730,1418290,77.68,16.9437385,82.2350607,darkkhaki
21,21,S01,Andhra Pradesh,5,2014,24,Amalapuram ,SC,DR PANDULA RAVINDRA BABU,M,SC,58,TDP,1121986,1357865,82.63,16.5777179,82.0032621,darkkhaki
22,22,S01,Andhra Pradesh,5,2014,25,Rajahmundry,GEN,MURALI MOHAN MAGANTI,M,GEN,73,TDP,1156626,1421276,81.38,17.0050454,81.7804732,darkkhaki
23,23,S01,Andhra Pradesh,5,2014,26,Narsapuram,GEN,GOKARAJU GANGA RAJU,M,GEN,69,BJP,1089102,1325028,82.19,17.4453781,82.9103236,orange
24,24,S01,Andhra Pradesh,5,2014,27,Eluru ,GEN,MAGANTI VENKATESWARA RAO (BABU),M,GEN,54,TDP,1203236,1427764,84.27,16.7104257,81.1153816,darkkhaki
25,25,S01,Andhra Pradesh,5,2014,28,Machilipatnam ,GEN,KONAKALLA NARAYANA RAO,M,GEN,64,TDP,1143048,1369311,83.48,16.1819393,81.1351299,darkkhaki
26,26,S01,Andhra Pradesh,5,2014,29,Vijayawada,GEN,KESINENI SRINIVAS (NANI),M,GEN,48,TDP,1198985,1564513,76.64,16.5087586,80.6185102,darkkhaki
27,27,S01,Andhra Pradesh,5,2014,30,Guntur,GEN,JAYADEV GALLA,M,GEN,48,TDP,1246775,1572017,79.31,16.2915189,80.4541588,darkkhaki
28,28,S01,Andhra Pradesh,5,2014,31,Narasaraopet,GEN,SAMBASIVA RAO RAYAPATI,M,GEN,70,TDP,1282831,1514861,84.68,16.2359592,80.054059,darkkhaki
29,29,S01,Andhra Pradesh,5,2014,32,Bapatla ,SC,MALYADRI SRIRAM,M,SC,60,TDP,1186250,1392964,85.16,15.9052608,80.4680501,darkkhaki
30,30,S01,Andhra Pradesh,5,2014,33,Ongole ,GEN,Y.V.SUBBA REDDY,M,GEN,53,YSRCP,1208904,1470212,82.23,15.5058714,80.0499454,greenyellow
31,31,S01,Andhra Pradesh,5,2014,34,Nandyal,GEN,S.P.Y REDDY,M,GEN,64,YSRCP,1209680,1576945,76.71,15.4736293,78.4806592,greenyellow
32,32,S01,Andhra Pradesh,5,2014,35,Kurnool,GEN,BUTTA RENUKA,F,GEN,42,YSRCP,1068070,1481791,72.08,15.8309251,78.0425373,greenyellow
33,33,S01,Andhra Pradesh,5,2014,36,Anantapur,GEN,J.C. DIVAKAR REDDI,M,GEN,70,TDP,1212195,1536894,78.87,14.55,77.416667,darkkhaki
34,34,S01,Andhra Pradesh,5,2014,37,Hindupur,GEN,KRISTAPPA NIMMALA,M,GEN,57,TDP,1179270,1446496,81.53,13.826383,77.4937723,darkkhaki
35,35,S01,Andhra Pradesh,5,2014,38,Kadapa,GEN,Y.S. AVINASH REDDY,M,GEN,29,YSRCP,1201120,1550440,77.47,14.4671491,78.8228877,greenyellow
36,36,S01,Andhra Pradesh,5,2014,39,Nellore,GEN,MEKAPATI RAJAMOHAN REDDY,M,GEN,69,YSRCP,1188861,1606127,74.02,14.4493717,79.9873763,greenyellow
37,37,S01,Andhra Pradesh,5,2014,40,Tirupati ,SC,VARAPRASAD RAO VELAGAPALLI,M,SC,61,YSRCP,1214363,1574161,77.14,13.6316368,79.4231711,greenyellow
38,38,S01,Andhra Pradesh,5,2014,41,Rajampet,GEN,P.V.MIDHUN REDDY,M,GEN,36,YSRCP,1161241,1487791,78.05,14.1935867,79.1585757,greenyellow
39,39,S01,Andhra Pradesh,5,2014,42,Chittoor ,SC,NARAMALLI SIVAPRASAD,M,SC,62,TDP,1199137,1451851,82.59,13.416667,79,darkkhaki
40,40,S02,Arunachal Pradesh,5,2014,1,ARUNACHAL WEST,GEN,KIREN RIJIJU,M,ST,42,BJP,337671,446640,75.6,28.3641989,94.7586273,orange
41,41,S02,Arunachal Pradesh,5,2014,2,ARUNACHAL EAST,GEN,NINONG ERING,M,ST,55,INC,263157,312704,84.16,28.3641989,94.7586273,black
42,42,S03,Assam,5,2014,1,Karimganj ,SC,RADHESHYAM BISWAS,M,SC,59,AIUDF,887782,1165997,76.14,24.8647214,92.3681114,darkslateblue
43,43,S03,Assam,5,2014,2,Silchar,GEN,SUSHMITA DEV  ,F,GEN,41,INC,800058,1060175,75.46,24.829588,92.797148,black
44,44,S03,Assam,5,2014,4,Dhubri,GEN,BADRUDDIN AJMAL,M,GEN,59,AIUDF,1369722,1550166,88.36,26.0186768,89.9857236,darkslateblue
45,45,S03,Assam,5,2014,5,Kokrajhar,ST,NABA KUMAR SARANIA (HIRA),M,ST,45,IND,1224243,1505472,81.32,26.599464,90.12392107,palevioletred
